Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting,Setting Value
WIN-4I9KFMHVAGD,System,Registry,{0CCE921E-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-4I9KFMHVAGD,System,File System,{0CCE921D-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-4I9KFMHVAGD,System,Other Privilege Use Events,{0CCE922A-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-4I9KFMHVAGD,System,Non Sensitive Privilege Use,{0CCE9229-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-4I9KFMHVAGD,System,Sensitive Privilege Use,{0CCE9228-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN-4I9KFMHVAGD,System,RPC Events,{0CCE922E-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-4I9KFMHVAGD,System,Token Right Adjusted Events,{0CCE924A-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-4I9KFMHVAGD,System,Process Creation,{0CCE922B-69AE-11D9-BED3-505054503030},Success,,1
WIN-4I9KFMHVAGD,System,Process Termination,{0CCE922C-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-4I9KFMHVAGD,System,Plug and Play Events,{0CCE9248-69AE-11D9-BED3-505054503030},Success,,1
WIN-4I9KFMHVAGD,System,DPAPI Activity,{0CCE922D-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-4I9KFMHVAGD,System,Other Policy Change Events,{0CCE9234-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-4I9KFMHVAGD,System,Authentication Policy Change,{0CCE9230-69AE-11D9-BED3-505054503030},Success,,1
WIN-4I9KFMHVAGD,System,Audit Policy Change,{0CCE922F-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN-4I9KFMHVAGD,System,Filtering Platform Policy Change,{0CCE9233-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-4I9KFMHVAGD,System,Authorization Policy Change,{0CCE9231-69AE-11D9-BED3-505054503030},Success,,1
WIN-4I9KFMHVAGD,System,MPSSVC Rule-Level Policy Change,{0CCE9232-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-4I9KFMHVAGD,System,Other Account Management Events,{0CCE923A-69AE-11D9-BED3-505054503030},Failure,,2
WIN-4I9KFMHVAGD,System,Application Group Management,{0CCE9239-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN-4I9KFMHVAGD,System,Distribution Group Management,{0CCE9238-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN-4I9KFMHVAGD,System,Security Group Management,{0CCE9237-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN-4I9KFMHVAGD,System,Computer Account Management,{0CCE9236-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN-4I9KFMHVAGD,System,User Account Management,{0CCE9235-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN-4I9KFMHVAGD,System,Directory Service Replication,{0CCE923D-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-4I9KFMHVAGD,System,Directory Service Access,{0CCE923B-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN-4I9KFMHVAGD,System,Detailed Directory Service Replication,{0CCE923E-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-4I9KFMHVAGD,System,Directory Service Changes,{0CCE923C-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN-4I9KFMHVAGD,System,Other Account Logon Events,{0CCE9241-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-4I9KFMHVAGD,System,Kerberos Service Ticket Operations,{0CCE9240-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-4I9KFMHVAGD,System,Credential Validation,{0CCE923F-69AE-11D9-BED3-505054503030},Success and Failure,,3
WIN-4I9KFMHVAGD,System,Kerberos Authentication Service,{0CCE9242-69AE-11D9-BED3-505054503030},No Auditing,,0
WIN-4I9KFMHVAGD,,Option:CrashOnAuditFail,,Disabled,,0
WIN-4I9KFMHVAGD,,Option:FullPrivilegeAuditing,,Enabled,,1
WIN-4I9KFMHVAGD,,Option:AuditBaseObjects,,Enabled,,1
WIN-4I9KFMHVAGD,,Option:AuditBaseDirectories,,Disabled,,0
WIN-4I9KFMHVAGD,,FileGlobalSacl,,,,
WIN-4I9KFMHVAGD,,RegistryGlobalSacl,,,,
